Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Est Dia in M(min),Est Dia in M(max),Est Dia in Miles(min),Est Dia in Miles(max),Est Dia in Feet(min),Est Dia in Feet(max),Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous
24.377,0.0354123686,0.0791844635,35.4123686452,79.184463535,0.0220042189,0.049202929299999996,116.1823155459,259.7915553441,8.8455750418,31844.0701504637,19786.6668109923,0.1551223158,60.3425788879,23205968.0,14419520.0,9,7,0.00794174,4.842,2458000.5,0.4122402109513876,1.321203326589463,10.070923687383198,260.8993102030493,554.6932929178331,0.7765501885265479,284.0651899590925,1.8658564646523792,2457863.3964830576,88.98118424963137,0.6490073065536902,0
22.605,0.0800857001,0.1790770695,80.0857001229,179.0770695004,0.049762931600000004,0.11127329779999999,262.74836839110003,587.5232126997,18.9351387305,68166.4994299775,42356.0118263657,0.4955431978,192.7663116455,74132208.0,46063620.0,8,6,0.07305160000000001,3.529,2458000.5,0.4929963550293225,2.147496399184448,8.4996796670959,281.3572450029174,1149.468550142692,1.08878850194792,5.1740514289892765,3.206204296420977,2457935.5948869856,20.32751629624232,0.3131882120266016,0
22.0,0.1058168859,0.23661375010000002,105.8168859331,236.61375011380002,0.0657515442,0.1470249225,347.1682720448,776.2918559233,12.3588228891,44491.76240064981,27645.450920559302,0.055626057300000004,21.6385364532,8321540.0,5170765.0,20,0,0.0326204,6.499,2458000.5,0.44785513840707897,0.9037128212690636,6.045502360378742,278.074228346833,313.79360788737233,0.4989803906193552,72.63232579457423,1.308445251918772,2457972.7667786274,31.816963263037056,1.147250902985927,1
24.8,0.0291443905,0.06516883820000001,29.144390453499998,65.1688382168,0.018109478999999998,0.0404940262,95.6180819754,213.80853117520002,2.1194295772,7629.9464779830005,4740.952021277801,0.1612835957,62.739318847700005,24127682.0,14992247.0,6,9,0.16126,4.266,2455592.5,0.2960812410570201,1.62632937526463,2.917932650093574,119.1821826416486,757.5497976373737,1.14480375546879,354.61394172243087,2.10785499506047,2455575.7548059644,7.957588889267704,0.4752162842928063,0
23.2,0.0608912622,0.1361570015,60.891262210600004,136.1570015386,0.0378360645,0.08460401220000001,199.7744887109,446.7093369279,11.2972842644,40670.2233518947,25270.8951710704,0.21287772789999998,82.8094329834,31846054.0,19788220.0,13,7,0.00619496,4.28,2458000.5,0.5080188689432343,1.558818245279435,2.085689092444765,336.61468420808563,710.8723911488971,0.7669091634244992,119.1652283613826,2.350727327134371,2457714.5430290173,144.81433072305833,0.5064200051688258,0
21.2,0.15295193529999998,0.3420109247,152.9519353442,342.0109247198,0.095039897,0.21251567030000001,501.81082755470004,1122.0831222578,15.316654834500001,55139.9574043703,34261.8251993989,0.0788435762,30.6701526642,11794832.0,7328968.5,29,0,0.00488139,5.686,2458000.5,0.4166461567271588,1.067897393652302,8.830020810798137,200.0636036521729,403.0813613943241,0.6229620488081204,255.41584057828968,1.5128327384964833,2457958.8811750105,37.17060234293982,0.8931199367658712,1
23.1,0.06376097900000001,0.1425738833,63.7609789875,142.57388332809998,0.0396192233,0.08859127650000001,209.18957030150003,467.7620993781,12.7291274423,45824.8587923912,28473.78517575,0.22535988070000001,87.6649932861,33713360.0,20948510.0,11,0,0.19908299999999998,4.883,2458000.5,0.215015341799917,1.310150950464507,21.59624469514587,219.33928751566108,547.7475342927005,1.028448396040895,88.96478015231004,1.591853504888119,2457968.108769905,21.288718075426807,0.6572370982278606,0
23.8,0.046190746,0.1032856481,46.190746028199996,103.28564805040001,0.028701590099999997,0.0641787064,151.544447199,338.8636855496,9.9669038091,35880.8537129213,22294.967130676,0.2386936422,92.8518295288,35708060.0,22187960.0,8,7,0.070383,5.882999999999999,2458000.5,0.1803932370255282,1.02921696679326,19.035290154010077,301.2835796158387,381.3808061226274,0.8435531865518279,291.02929332761414,1.214880747034691,2457901.2378466805,93.69736132844432,0.943938431668864,0
24.0,0.042126461100000005,0.0941976306,42.1264610556,94.1976305719,0.026176161200000003,0.058531675899999996,138.21017848969998,309.0473542854,9.1810557682,33051.8007655715,20537.1036479186,0.0122559603,4.7675685883,1833465.5,1139262.625,8,8,0.00849026,7.057,2452358.5,0.3420395941822435,0.8240252786422374,6.6281181179216775,164.2963041743963,273.2179503692442,0.5421760067395364,223.2220307604914,1.105874550544939,2452259.5014515896,130.4433964881567,1.317629385307492,0
24.9,0.0278326768,0.06223575730000001,27.8326768072,62.2357573367,0.0172944182,0.0386714948,91.31455937610001,204.1855621004,11.1149164347,40013.6991648502,24862.956572737003,0.35578654049999997,138.4009552002,53224908.0,33072424.0,7,7,0.00757691,6.388,2458000.5,0.4643832578435985,0.9217344007415764,4.873367484614554,55.74071437400801,323.22662052398204,0.4936963768586862,313.0164204914738,1.3497724246244658,2458122.836811968,223.7449717567965,1.11376964996387,0
21.5,0.1332155667,0.29787906280000004,133.2155666981,297.8790627982,0.08277628990000001,0.1850934111,437.05895984589995,977.2935443908,9.9963232067,35986.7635440803,22360.775381042597,0.0472189242,18.3681602478,7063850.5,4389273.0,16,0,0.014661500000000001,3.782,2458000.5,0.5046377834864857,1.8983647176804679,3.600500046663705,50.72973308650449,955.3618775260077,0.9403781543012484,18.03011211459189,2.8563512810596876,2458190.990216364,288.2193695349554,0.3768205624158368,1
24.3,0.0366906138,0.0820427065,36.6906137531,82.0427064882,0.0227984834,0.050978958600000006,120.3760332259,269.1689931548,12.8887443817,46399.479774255706,28830.832307509103,0.37441420770000006,145.6471252441,56011568.0,34803976.0,18,1,0.00347209,6.769,2458000.5,0.2576795112710575,0.8689334157518706,8.513761555893637,24.363947321386423,295.85449707407133,0.645027077853838,319.2955599321823,1.092839753649903,2458129.4484340562,203.0936939633281,1.2168143582751392,0
18.9,0.44111819999999996,0.9863702812999999,441.11819999690005,986.3702813053999,0.2740980571,0.6129018881,1447.2382352778,3236.1230737181,24.139125198000002,86900.8507129408,53996.8091554937,0.1008711082,39.238861084,15090103.0,9376555.0,39,2,0.0480855,4.13,2458000.5,0.6870483196254981,1.558186287577343,6.002519368993511,150.1033508979793,710.4401447184206,0.4876370170338363,132.18640073962308,2.628735558120849,2457980.714231453,10.02600532933655,0.5067281215403223,1
21.8,0.1160259082,0.2594418179,116.0259082094,259.44181790740004,0.0720951346,0.1612096218,380.6624406898,851.1870938635001,9.1088576814,32791.8876529727,20375.6037474818,0.3006797895,116.96444702149999,44981060.0,27949934.0,51,1,0.104736,6.002999999999999,2458000.5,0.3775352983208624,1.001342942840337,7.104126563177386,179.50578277269858,365.9929240029879,0.6233006361936202,170.85216527708383,1.379385249487054,2457994.548482506,5.854064811306019,0.9836255741301191,0
21.0,0.16770846220000002,0.3750075218,167.7084621628,375.00752179809996,0.1042091748,0.23301879879999998,550.2246310023,1230.3396778159,10.4515364458,37625.5312047594,23379.0418755351,0.3673154736,142.8857116699,54949612.0,34144108.0,6,8,0.233091,5.655,2455634.5,0.2796330890488376,1.0802629257097358,16.62728219755782,145.16265509,410.1027052335908,0.7781856668085873,180.9093765359106,1.3823401846108838,2455794.370937707,219.6606731921938,0.8778288838522709,0
19.0,0.42126461060000003,0.9419763056999999,421.2646105562,941.9763057186,0.2617616123,0.5853167590999999,1382.1017848970998,3090.4735428537,7.313109271699999,26327.1933781623,16358.694129892,0.1944313332,75.6337890625,29086514.0,18073522.0,64,0,0.20627800000000002,3.1180000000000003,2458000.5,0.5560099490842421,2.670033345646399,10.935903095568909,266.923916726781,1593.578474148391,1.185468241080316,164.8463866470759,4.154598450212482,2458613.8684804514,221.4359715916734,0.2259066659345936,0
21.8,0.1160259082,0.2594418179,116.0259082094,259.44181790740004,0.0720951346,0.1612096218,380.6624406898,851.1870938635001,11.3915944961,41009.7401858131,25481.8577282348,0.29609774980000003,115.1820297241,44295596.0,27524006.0,10,5,0.106548,6.399,2458000.5,0.2685881574431705,0.9300255655347168,9.033354626165423,98.91498173044715,327.59763472871435,0.6802317125127046,349.9583328505873,1.179819418556729,2458142.432877772,204.028678534132,1.098909033021921,0
24.4,0.0350392641,0.0783501764,35.0392641108,78.35017643340001,0.021772382599999997,0.0486845275,114.9582192654,257.05439284970004,9.0871887528,32713.8795099366,20327.1325210492,0.3096221562,120.4430236816,46318816.0,28781178.0,8,5,0.0160037,6.4910000000000005,2458000.5,0.3761644745733882,0.9068521892397418,13.316227455531552,233.9190160095591,315.4301376893373,0.5657266119586475,228.01795515411857,1.2479777665208358,2457973.2382127326,31.113841841605808,1.1412986807067842,0
20.8,0.1838886721,0.41118757100000003,183.88867207029998,411.1875710413,0.11426308810000001,0.2555000322,603.309310875,1349.040630575,6.790961091900001,24447.459930719702,15190.700866396299,0.22865023899999998,88.9449462891,34205588.0,21254368.0,73,0,0.0241636,6.099,2458000.5,0.2792445622055008,0.9882461226873592,4.669720186458235,342.9446180859713,358.8360814924976,0.712283766806244,56.116749077751805,1.264208478568475,2458009.864908088,350.60471595429965,1.003243593851157,1
25.6,0.0201629919,0.04508582059999999,20.1629919443,45.0858206172,0.012528698500000001,0.028015021400000003,66.1515504905,147.91936371370002,5.3833198684,19379.9515261235,12041.9482135516,0.1540273609,59.9166412354,23042164.0,14317737.0,10,7,0.010617399999999999,5.933,2458000.5,0.2272553636804437,1.025627036789493,6.134197098300143,313.49123177013666,379.38715095685285,0.7925477915434009,80.87904335906639,1.258706282035585,2457880.8284123964,113.55622199783998,0.9488987676362878,0
22.5,0.08405334019999999,0.1879489824,84.0533402073,187.9489824394,0.052228308099999995,0.1167860472,275.7655606856,616.6305395464,18.1284607402,65262.458664710306,40551.5538297473,0.0655122255,25.484254836999998,9800489.0,6089742.0,10,8,0.041107,3.7969999999999997,2454413.5,0.4590268987116017,1.7949086972397432,30.62360020360375,41.927572222658455,878.3386017083066,0.9709973244753022,36.68918860603615,2.6188200700041833,2454442.936267949,347.935112448785,0.4098647142455374,0
22.1,0.1010543415,0.2259643771,101.054341542,225.96437710939998,0.0627922373,0.140407711,331.5431259047,741.3529669956,25.9120773593,93283.47849335289,57962.725844939196,0.47434504829999996,184.5202331543,70961008.0,44093128.0,22,0,0.011990100000000002,7.608,2458000.5,0.4427972971613442,0.7510941604690496,2.621028389181665,48.22984936033797,237.7606640819511,0.4185116962996855,136.9143109877986,1.0836766246384142,2457903.1634410834,147.379977025255,1.5141276686370437,0
24.6,0.0319561887,0.0714562102,31.9561886721,71.45621017270001,0.0198566489,0.0444008168,104.84314204309999,234.43639258299999,10.777294409400001,38798.259873882096,24107.729864413,0.0362833721,14.1142320633,5427915.5,3372750.25,11,8,0.033204000000000004,4.164,2451934.5,0.3866482196613914,1.6400602138773808,16.73597714121066,123.1709690844282,767.1638265157652,1.005933852044211,342.77449326358084,2.274186575710551,2451918.2935694177,7.605044460937999,0.4692609160614561,0
22.7,0.0766575574,0.1714115092,76.6575573531,171.4115092306,0.0476327831,0.1065101409,251.5011804664,562.3737359442,21.603749449099997,77773.4980167262,48325.4271426708,0.49031774850000004,190.73361206049998,73350496.0,45577884.0,85,0,0.00276915,6.056,2452656.5,0.22991528144952103,1.0000418798917272,1.8331446487416732,281.886883055542,365.27984394559576,0.7701169696151129,274.1047627359359,1.229966790168342,2452765.042714406,253.0261884585182,0.9855457561288758,0
21.6,0.1272198785,0.2844722965,127.2198785394,284.4722965033,0.0790507431,0.17676283539999998,417.3880663071,933.3080892598,20.184581379100003,72664.492964836,45150.890086955995,0.2738625473,106.5325317383,40969252.0,25457114.0,17,5,0.176342,5.846,2458000.5,0.1959656502305822,1.018605493059833,31.73411400379178,16.30289359724117,375.4978439411666,0.8189938052839197,192.46881730717968,1.2182171808357458,2457874.3167535,120.9753117708478,0.9587272092470526,0
27.2,0.009650614699999999,0.021579430499999996,9.6506146958,21.5794304844,0.0059966121,0.0134088323,31.662122718499997,70.79865871060001,9.423995269199999,33926.382969033104,21080.5350176195,0.0184668142,7.1835904121,2762596.0,1716597.625,5,7,0.0198684,5.263999999999999,2458000.5,0.1672717933026411,1.1934889567098808,16.69963739489604,324.79428365582237,476.2401805113076,0.9938519186341216,204.0205496583643,1.393125994785641,2458042.769815025,328.0473550284985,0.7559210976560017,0
21.494,0.1335841639,0.2987032712,133.58416391309999,298.7032712272,0.0830053255,0.1856055503,438.2682683328,979.9976403732,15.6786970401,56443.309344528796,35071.6774091046,0.1947745932,75.7673187256,29137866.0,18105430.0,9,5,0.07390880000000001,6.696000000000001,2458000.5,0.3838850579102436,0.8740622180160318,10.868375959003599,100.30275725199041,298.4777407624754,0.5385227928357914,257.16898566607983,1.209601643196272,2457968.7823209125,38.2553300025332,1.206120091502847,0
16.8,1.1602590820999998,2.5944181791,1160.2590820944001,2594.4181790745,0.7209513461,1.6120962183,3806.6244068984997,8511.8709386348,13.6445831464,49120.499327138605,30521.568040243503,0.28234062719999997,109.8304977417,42237556.0,26245200.0,386,0,0.0627723,4.218999999999999,2458000.5,0.5240197351639614,1.576723777775135,11.400931112514538,338.9915903576408,723.1557644873618,0.7504894013186879,305.7309043688938,2.402958154231581,2457915.7586272825,42.18578579678109,0.49781806033891,0
21.3,0.1460679643,0.32661789739999997,146.0679642714,326.6178974458,0.090762397,0.20295088960000002,479.2256199,1071.581062656,13.873687428599998,49945.274743078095,31034.051409108703,0.47685695130000005,185.4973449707,71336784.0,44326624.0,7,7,0.393936,3.054,2458000.5,0.5202787678505867,2.622964607657877,28.06073391719489,137.2995167380531,1551.626087346461,1.258291813469939,121.0791273093442,3.987637401845815,2457254.377323894,173.1113994464657,0.2320146605782195,0
18.6,0.5064714588,1.1325046106,506.4714588346,1132.5046106177,0.3147066768,0.7037055224,1661.651821003,3715.566426699,21.7679049727,78364.457901716,48692.6266334302,0.1449387115,56.381156921400006,21682522.0,13472895.0,69,0,0.0822605,4.34,2458000.5,0.7224671230922787,1.4295853236693858,15.050732768765869,6.948475009456356,624.3290575514474,0.3967569276630207,224.8617486010826,2.462413719675752,2458093.037403511,306.6411744558898,0.576619005067427,0
21.7,0.1214940408,0.2716689341,121.49404079959999,271.6689340891,0.07549287360000001,0.16880719719999998,398.6025088171,891.3023057169,4.923268724700001,17723.7674087824,11012.859810196001,0.18923477449999998,73.6123275757,28309120.0,17590472.0,16,4,0.064576,5.6979999999999995,2458000.5,0.162453461285589,1.083368313172558,6.062000297560326,115.02847646932109,411.87233358580534,0.907371380850546,211.0964435025814,1.25936524549457,2457851.7141802073,130.0473247598475,0.8740572518328696,0
22.0,0.1058168859,0.23661375010000002,105.8168859331,236.61375011380002,0.0657515442,0.1470249225,347.1682720448,776.2918559233,1.9116810309999999,6882.0517115808,4276.239298232,0.2763449955,107.4981994629,41340620.0,25687872.0,23,0,0.273535,3.658,2458000.5,0.3859645619458195,2.0885324502052818,3.5894768050057455,176.69127713806716,1102.453468116475,1.282432937952171,118.87138287410542,2.894631962458393,2458321.8483193815,255.0655076852049,0.3265443943090446,0
20.3,0.2315021222,0.5176544822,231.5021222103,517.6544821978,0.14384870519999998,0.3216554833,759.5214226325,1698.3415313737,4.3781561254,15761.3620514109,9793.4974368892,0.3311485132,128.8167724609,49539112.0,30782176.0,14,5,0.291503,3.052,2458000.5,0.5608439011247925,2.805411951413208,10.07501238178699,259.8409916412702,1716.300745317802,1.232013768320507,113.23222207614158,4.378810134505908,2458180.7283629864,322.1964793454415,0.2097534485037702,0
25.6,0.0201629919,0.04508582059999999,20.1629919443,45.0858206172,0.012528698500000001,0.028015021400000003,66.1515504905,147.91936371370002,14.0912031607,50728.3313784829,31520.612350146803,0.2689702852,104.6294403076,40237380.0,25002350.0,10,7,0.024568,6.797000000000001,2458000.5,0.1986104067958223,0.8633230890356343,15.290601341132891,18.63948790340435,292.993820551631,0.6918581391260411,344.80053144411767,1.034788038945228,2458132.9450594713,197.2654367936369,1.228694855482665,0
19.4,0.3503926411,0.7835017643000001,350.39264110830004,783.5017643338,0.2177238258,0.48684527479999995,1149.5821926536998,2570.5439284970003,15.2507167154,54902.580175318,34114.3282206024,0.3679517614,143.1332244873,55044800.0,34203252.0,22,0,0.0437754,5.202999999999999,2458000.5,0.4938564854124059,1.169784152291741,23.65651904988886,283.38982594555836,462.122407318729,0.5920786621498114,97.48219523504957,1.7474896424336708,2458105.839266735,277.93919657637247,0.7790143786551028,1
23.9,0.04411182,0.09863702810000001,44.1118199997,98.6370281305,0.027409805699999998,0.0612901888,144.7238235278,323.6123073718,12.570670418599999,45254.413506935896,28119.332659351403,0.09869904300000001,38.3939285278,14765166.0,9174649.0,12,6,0.00203226,5.646,2458000.5,0.2116654927436459,1.0767669159348492,23.800817997040962,311.95224067238615,408.1135194096984,0.8488525161034431,85.6343917213093,1.3046813157662542,2458110.718214462,262.7756853931933,0.8821075090105063,0
17.7,0.7665755734999999,1.7141150923,766.5755735311,1714.1150923063,0.4763278307,1.0651014090000002,2515.0118046636,5623.7373594423,27.3716427765,98537.91399542161,61227.627726766295,0.49572762340000004,192.8380432129,74159800.0,46080764.0,54,0,0.08968789999999999,3.197,2458000.5,0.6410854979156205,2.4044518000557806,8.083488825217563,191.07685633742318,1361.828880961936,0.8629926206029104,188.851151032249,3.9459109795086516,2458265.374245995,289.9803889525713,0.2643503930873547,0
21.9,0.11080388210000001,0.24776501260000003,110.8038821264,247.7650126055,0.06885031900000001,0.1539539936,363.5298086356,812.8773639568,14.513728327,52249.421977267004,32465.758894707902,0.37099573979999995,144.3173370361,55500172.0,34486208.0,5,7,0.03639969999999999,5.1979999999999995,2458000.5,0.2544339570212125,1.186559553093317,28.37579851065576,356.5926372078096,472.0986268048352,0.8846585107584628,54.15478860583174,1.4884605954281709,2457918.4113658518,62.596895257833005,0.7625525251714477,1
19.0,0.42126461060000003,0.9419763056999999,421.2646105562,941.9763057186,0.2617616123,0.5853167590999999,1382.1017848970998,3090.4735428537,20.0070924026,72025.5326491811,44753.864995264805,0.309099024,120.23951721190001,46240556.0,28732550.0,22,4,0.0723948,3.4019999999999997,2458000.5,0.7076937472314243,1.9726557803194562,28.49980162382593,107.91030201999529,1011.9880658009371,0.5766196191474509,77.47282878244877,3.3686919414914613,2458377.194265923,225.99650695974182,0.3557354203728465,0
24.4,0.0350392641,0.0783501764,35.0392641108,78.35017643340001,0.021772382599999997,0.0486845275,114.9582192654,257.05439284970004,8.3884585114,30198.4506411924,18764.1428442454,0.0131288769,5.1071329117,1964052.0,1220405.375,15,0,0.0135172,3.173,2458000.5,0.6099499391599853,2.509106338665483,2.978222520122809,301.1907079389383,1451.700506112319,0.9786770800505382,153.4537546135031,4.0395355972804285,2457375.47014381,154.99805041122,0.2479850344366737,0
27.197,0.0096639567,0.0216092642,9.6639567269,21.609264173000003,0.0060049025,0.0134273701,31.705895788000003,70.8965382695,6.8188722073,24547.9399461489,15253.1352404279,0.19554145260000003,76.0656280518,29252586.0,18176714.0,3,6,0.00223976,6.091,2458000.5,0.3458404440467126,0.986420173735552,2.500098601413876,6.219294469626102,357.84202707130333,0.6452761828342133,294.9074533476469,1.327564164636891,2457913.9180844645,87.10404936982205,1.006030518400419,0
25.3,0.023150212200000003,0.0517654482,23.150212221,51.76544821979999,0.0143848705,0.0321655483,75.9521422633,169.8341531374,9.475455952799999,34111.641430189906,21195.6474208866,0.0161210683,6.2710957527,2411677.5,1498547.0,6,7,0.00919793,3.665,2458000.5,0.5237406195728086,1.9896134830647167,5.071709450291179,204.1760083452124,1025.065223698006,0.9475720847339882,204.7210514491748,3.031654881395446,2457624.3434758945,132.1051046774878,0.3511971645094649,0
24.4,0.0350392641,0.0783501764,35.0392641108,78.35017643340001,0.021772382599999997,0.0486845275,114.9582192654,257.05439284970004,10.286102288099999,37029.9682370052,23008.982208154703,0.003110141,1.2098448277,465270.46875,289105.6875,16,5,0.000518411,6.434,2458000.5,0.363321385022962,0.9208226691135823,1.557553733122076,345.96333429472463,322.7471607475732,0.5862681016106951,58.95174491868227,1.25537723661647,2458079.804995048,271.5412877652546,1.115424219894418,0
18.8,0.4619074603,1.0328564805,461.90746028160004,1032.8564805039,0.28701590050000003,0.6417870641,1515.4444719901999,3388.6368554964,28.3112101666,101920.3565996646,63329.346021608304,0.2802373445,109.0123291016,41922912.0,26049690.0,54,0,0.0181583,4.448,2458000.5,0.926733169141124,1.266388566269488,23.78512851693478,39.57461454418796,520.533755783069,0.09278427688648117,149.57131533156291,2.4399928556524944,2458057.006601244,320.92015892931437,0.6915977993750496,1
20.9,0.1756123185,0.3926810818,175.6123184804,392.6810818086,0.1091204019,0.24400063649999998,576.1559189633,1288.3238004408,12.084280208900001,43503.4087519442,27031.326399228903,0.3902306714,151.7997436523,58377680.0,36274208.0,13,5,0.163278,3.043,2458000.5,0.5830798823052977,2.80767597302405,4.462222646317536,38.59774307815851,1718.378796192612,1.1705765971217748,185.1743493095475,4.444775348926326,2457493.3037850596,106.2575014211171,0.2094997917791159,0
24.2,0.038419789100000004,0.0859092601,38.419789106399996,85.9092601232,0.023872942799999998,0.0533815229,126.04918089190001,281.8545369825,14.3891004775,51800.7617188949,32186.9788580544,0.10104548349999999,39.306694030799996,15116189.0,9392764.0,18,1,0.000598705,6.064,2458000.5,0.1761363543547804,0.9863184916697846,23.01931845137059,37.08913446319676,357.7866979431142,0.8125919483143629,286.53737742146836,1.160045035025206,2457920.3410946494,80.65477585409083,1.006186093752534,0
22.1,0.1010543415,0.2259643771,101.054341542,225.96437710939998,0.0627922373,0.140407711,331.5431259047,741.3529669956,11.956323081199999,43042.7630923002,26745.099100323998,0.114030236,44.357761383100005,17058680.0,10599773.0,26,0,0.07865839999999999,5.041,2455920.5,0.2170798862058015,1.2522080364541393,22.38684494543919,142.8084549988845,511.815173344281,0.9803788583946842,112.14447828932741,1.524037214513593,2455796.773433761,87.02665760153675,0.7033789124454894,0
